Total Cycles, Sync, Threads, Elapsed Time, Collisions, CPU Cores
1000000000, unsynchronized,1,1102,0,8
1000000000, unsynchronized,1,1124,0,8
1000000000, unsynchronized,1,1104,0,8
1000000000, unsynchronized,1,1100,0,8
1000000000, unsynchronized,1,1099,0,8
1000000000, unsynchronized,1,1105,0,8
1000000000, unsynchronized,1,1101,0,8
1000000000, unsynchronized,1,1136,0,8
1000000000, unsynchronized,1,1098,0,8
1000000000, unsynchronized,1,1108,0,8
1000000000, unsynchronized,2,759,485731683,8
1000000000, unsynchronized,2,754,489457561,8
1000000000, unsynchronized,2,772,484603028,8
1000000000, unsynchronized,2,740,482254328,8
1000000000, unsynchronized,2,763,481605412,8
1000000000, unsynchronized,2,737,491227891,8
1000000000, unsynchronized,2,758,483939548,8
1000000000, unsynchronized,2,760,481519587,8
1000000000, unsynchronized,2,769,476000228,8
1000000000, unsynchronized,2,759,480539873,8
1000000000, unsynchronized,4,444,732224489,8
1000000000, unsynchronized,4,470,730794293,8
1000000000, unsynchronized,4,453,726100452,8
1000000000, unsynchronized,4,454,720067312,8
1000000000, unsynchronized,4,451,725830771,8
1000000000, unsynchronized,4,459,720996452,8
1000000000, unsynchronized,4,467,730235114,8
1000000000, unsynchronized,4,440,732680214,8
1000000000, unsynchronized,4,462,734634941,8
1000000000, unsynchronized,4,465,724300934,8
1000000000, unsynchronized,5,468,742195445,8
1000000000, unsynchronized,5,436,774291258,8
1000000000, unsynchronized,5,476,751495007,8
1000000000, unsynchronized,5,476,760879803,8
1000000000, unsynchronized,5,442,766077630,8
1000000000, unsynchronized,5,478,743294434,8
1000000000, unsynchronized,5,459,758242927,8
1000000000, unsynchronized,5,448,769009010,8
1000000000, unsynchronized,5,446,754099526,8
1000000000, unsynchronized,5,476,758046975,8
1000000000, unsynchronized,10,453,809875559,8
1000000000, unsynchronized,10,382,724169623,8
1000000000, unsynchronized,10,429,753506099,8
1000000000, unsynchronized,10,412,729291871,8
1000000000, unsynchronized,10,390,698345271,8
1000000000, unsynchronized,10,390,759300813,8
1000000000, unsynchronized,10,380,697564696,8
1000000000, unsynchronized,10,378,759983363,8
1000000000, unsynchronized,10,437,753000840,8
1000000000, unsynchronized,10,392,745091378,8
